,2015,2016,2017,2018,2019,2020,2021,2022,2023
계 (천 명),"51,015","51,218","51,362","51,585","51,765","51,836","51,770","51,673","51,713"
서울,"9,941","9,843","9,766","9,697","9,657","9,618","9,508","9,421","9,400"
부산,"3,452","3,447","3,424","3,403","3,381","3,356","3,334","3,303","3,284"
대구,"2,469","2,461","2,458","2,449","2,437","2,414","2,396","2,372","2,360"
인천,"2,883","2,907","2,924","2,936","2,952","2,951","2,950","2,975","3,009"
광주,"1,506","1,502","1,495","1,488","1,489","1,480","1,476","1,470","1,463"
대전,"1,542","1,536","1,528","1,513","1,503","1,492","1,482","1,472","1,474"
울산,"1,164","1,166","1,159","1,153","1,146","1,139","1,125","1,114","1,106"
세종,187,234,266,302,329,348,361,380,387
경기,"12,423","12,600","12,786","13,027","13,241","13,452","13,611","13,690","13,781"
강원,"1,517","1,521","1,521","1,521","1,520","1,519","1,520","1,527","1,525"
충북,"1,589","1,601","1,609","1,618","1,629","1,631","1,626","1,623","1,627"
충남,"2,103","2,126","2,153","2,177","2,189","2,177","2,175","2,186","2,204"
전북,"1,835","1,835","1,829","1,823","1,812","1,806","1,792","1,777","1,768"
전남,"1,797","1,798","1,795","1,796","1,793","1,793","1,785","1,775","1,768"
경북,"2,678","2,683","2,675","2,675","2,671","2,652","2,641","2,626","2,611"
경남,"3,330","3,338","3,339","3,351","3,350","3,340","3,315","3,287","3,267"
제주,599,618,635,655,664,669,672,675,677
수도권,"25,247","25,350","25,476","25,660","25,851","26,021","26,069","26,086","26,190"
