瘤痢锅龋,瘤痢疙,老矫,乞闭扁柯(∩),乞闭弥绊扁柯(∩),弥绊扁柯(∩),	弥绊扁柯老磊,乞闭弥历扁柯(∩),弥历扁柯(∩),弥历扁柯老磊
156,堡林,2015-01,1.7,6.2,12.2,2015-01-05,-2.1,-8.3,2015-01-03
156,堡林,2015-02,3.0,7.8,13.3,2015-02-20,-0.9,-8.7,2015-02-09
156,堡林,2015-03,8.0,14.7,23.3,2015-03-30,2.3,-4.1,2015-03-10
156,堡林,2015-04,13.9,20.5,28.2,2015-04-26,8.9,4.3,2015-04-17
156,堡林,2015-05,19.4,26.1,33.1,2015-05-26,13.6,6.5,2015-05-05
156,堡林,2015-06,22.5,27.7,31.9,2015-06-12,18.7,13.9,2015-06-06
156,堡林,2015-07,25.4,29.7,34.2,2015-07-30,22.2,17.6,2015-07-02
156,堡林,2015-08,26.0,30.5,36.2,2015-08-07,22.7,19.1,2015-08-26
156,堡林,2015-09,22.0,27.3,30.6,2015-09-29,17.4,14.9,2015-09-14
156,堡林,2015-10,16.9,22.7,26.9,2015-10-06,12.1,4.8,2015-10-31
156,堡林,2015-11,11.6,15.4,21.6,2015-11-05,8.5,-0.2,2015-11-26
156,堡林,2015-12,5.3,9.4,15.8,2015-12-09,1.8,-3.5,2015-12-18
156,堡林,2016-01,0.9,4.9,13.7,2016-01-03,-2.1,-11.7,2016-01-24
156,堡林,2016-02,3.3,8.2,19.8,2016-02-13,-1.0,-5.9,2016-02-03
156,堡林,2016-03,8.4,14.7,22.9,2016-03-30,3.4,-4.3,2016-03-01
156,堡林,2016-04,15.5,21.9,27.4,2016-04-25,10.5,7.1,2016-04-05
156,堡林,2016-05,19.8,26.0,31.1,2016-05-18,14.3,10.0,2016-05-16
156,堡林,2016-06,23.0,27.6,31.5,2016-06-19,19.5,14.7,2016-06-05
156,堡林,2016-07,26.9,31.1,36.0,2016-07-31,23.7,20.1,2016-07-18
156,堡林,2016-08,27.8,33.1,37.2,2016-08-12,23.8,16.6,2016-08-29
156,堡林,2016-09,23.0,27.6,33.0,2016-09-04,19.6,15.6,2016-09-21
156,堡林,2016-10,17.2,21.5,31.1,2016-10-04,13.6,5.9,2016-10-30
156,堡林,2016-11,9.6,14.6,21.9,2016-11-06,5.3,-0.5,2016-11-24
156,堡林,2016-12,4.7,9.4,17.3,2016-12-22,0.7,-4.6,2016-12-28
156,堡林,2017-01,2.0,6.7,14.8,2017-01-08,-1.9,-7.9,2017-01-15
156,堡林,2017-02,2.9,8.4,15.7,2017-02-16,-1.7,-5.3,2017-02-02
156,堡林,2017-03,7.4,13.8,20.6,2017-03-19,2.4,-2.4,2017-03-07
156,堡林,2017-04,15.1,21.9,30.4,2017-04-16,9.5,3.5,2017-04-02
156,堡林,2017-05,19.8,26.4,33.0,2017-05-29,14.1,10.7,2017-05-27
156,堡林,2017-06,23.1,29.4,34.1,2017-06-19,18.5,13.7,2017-06-04
156,堡林,2017-07,27.8,32.0,35.4,2017-07-27,24.8,22.5,2017-07-15
156,堡林,2017-08,27.0,31.6,37.3,2017-08-06,23.4,17.7,2017-08-31
156,堡林,2017-09,22.4,27.6,31.1,2017-09-25,18.0,11.5,2017-09-30
156,堡林,2017-10,17.0,22.1,29.5,2017-10-09,12.8,3.4,2017-10-31
156,堡林,2017-11,8.8,14.6,21.3,2017-11-07,4.0,-0.8,2017-11-19
156,堡林,2017-12,1.9,6.6,13.6,2017-12-03,-1.9,-7.2,2017-12-14
156,堡林,2018-01,-0.2,4.5,11.4,2018-01-15,-3.8,-11.5,2018-01-27
156,堡林,2018-02,1.8,7.1,15.9,2018-02-27,-2.8,-10.0,2018-02-07
156,堡林,2018-03,10.0,16.5,24.8,2018-03-31,4.7,-3.1,2018-03-02
156,堡林,2018-04,15.1,21.5,30.2,2018-04-20,9.7,1.1,2018-04-07
156,堡林,2018-05,19.5,25.0,31.1,2018-05-15,14.8,7.8,2018-05-04
156,堡林,2018-06,23.6,29.5,34.5,2018-06-25,19.2,15.7,2018-06-01
156,堡林,2018-07,28.3,33.5,38.5,2018-07-27,24.5,20.4,2018-07-01
156,堡林,2018-08,28.4,33.7,38.5,2018-08-15,24.9,20.6,2018-08-18
156,堡林,2018-09,21.6,26.3,29.7,2018-09-03,18.0,11.6,2018-09-25
156,堡林,2018-10,14.5,19.9,25.4,2018-10-04,10.1,5.6,2018-10-31
156,堡林,2018-11,9.9,15.5,21.0,2018-11-05,5.3,0.4,2018-11-23
156,堡林,2018-12,3.2,7.8,19.8,2018-12-02,-0.6,-7.0,2018-12-31
156,堡林,2019-01,1.8,7.0,10.5,2019-01-30,-2.1,-5.9,2019-01-16
156,堡林,2019-02,3.6,9.0,15.6,2019-02-23,-0.7,-4.9,2019-02-10
156,堡林,2019-03,8.4,14.7,20.7,2019-03-28,3.4,-0.6,2019-03-24
156,堡林,2019-04,13.0,18.8,27.9,2019-04-22,8.4,0.9,2019-04-04
156,堡林,2019-05,19.2,26.2,30.7,2019-05-16,13.1,6.8,2019-05-07
156,堡林,2019-06,22.0,27.4,31.7,2019-06-04,17.9,13.5,2019-06-01
156,堡林,2019-07,25.3,29.4,32.9,2019-07-31,22.4,19.1,2019-07-03
156,堡林,2019-08,27.0,31.3,34.8,2019-08-04,23.8,20.1,2019-08-31
156,堡林,2019-09,22.9,27.2,30.6,2019-09-11,19.6,13.7,2019-09-24
156,堡林,2019-10,17.1,22.2,28.4,2019-10-04,13.0,6.7,2019-10-28
156,堡林,2019-11,10.8,16.9,22.9,2019-11-01,6.0,0.1,2019-11-21
156,堡林,2019-12,4.8,9.5,16.3,2019-12-16,1.0,-5.0,2019-12-31
156,堡林,2020-01,4.6,9.0,17.7,2020-01-07,1.2,-4.9,2020-01-01
156,堡林,2020-02,5.3,10.6,19.8,2020-02-14,0.8,-7.0,2020-02-06
156,堡林,2020-03,9.0,15.2,23.3,2020-03-21,3.8,-2.2,2020-03-06
156,堡林,2020-04,11.5,18.0,25.6,2020-04-30,6.2,1.6,2020-04-06
156,堡林,2020-05,18.8,24.4,30.1,2020-05-06,14.2,10.4,2020-05-20
156,堡林,2020-06,23.6,28.8,33.7,2020-06-08,19.6,14.2,2020-06-02
156,堡林,2020-07,23.4,26.8,31.6,2020-07-07,20.8,17.8,2020-07-01
156,堡林,2020-08,27.6,31.6,34.4,2020-08-19,24.8,23.0,2020-08-08
156,堡林,2020-09,21.3,25.7,31.1,2020-09-01,17.9,13.0,2020-09-21
156,堡林,2020-10,15.7,21.2,26.2,2020-10-03,11.2,6.5,2020-10-30
156,堡林,2020-11,10.5,15.6,23.6,2020-11-18,6.4,0.7,2020-11-30
156,堡林,2020-12,2.7,7.8,13.8,2020-12-28,-1.1,-8.9,2020-12-31
156,堡林,2021-01,1.4,6.4,15.5,2021-01-25,-2.6,-13.5,2021-01-08
156,堡林,2021-02,5.1,10.7,22.6,2021-02-21,0.4,-5.8,2021-02-17
156,堡林,2021-03,10.6,17.0,25.0,2021-03-26,5.6,-0.1,2021-03-03
156,堡林,2021-04,14.9,20.9,27.2,2021-04-24,9.7,3.6,2021-04-15
156,堡林,2021-05,18.4,24.0,30.4,2021-05-23,13.4,7.1,2021-05-06
156,堡林,2021-06,23.3,28.3,32.8,2021-06-21,19.2,14.9,2021-06-05
156,堡林,2021-07,27.0,31.4,35.1,2021-07-21,23.6,20.1,2021-07-05
156,堡林,2021-08,25.8,30.3,34.5,2021-08-06,22.5,19.9,2021-08-20
156,堡林,2021-09,22.9,27.2,32.4,2021-09-30,19.5,15.8,2021-09-24
156,堡林,2021-10,17.2,22.7,30.7,2021-10-10,12.8,3.6,2021-10-18
156,堡林,2021-11,10.2,15.8,23.8,2021-11-07,5.8,1.1,2021-11-28
156,堡林,2021-12,4.1,9.4,15.4,2021-12-10,0.0,-8.3,2021-12-26
156,堡林,2022-01,1.6,6.7,12.2,2022-01-22,-2.3,-6.4,2022-01-20
156,堡林,2022-02,1.8,7.2,16.5,2022-02-28,-2.4,-7.8,2022-02-17
156,堡林,2022-03,9.6,15.6,22.8,2022-03-12,4.5,-0.9,2022-03-07
156,堡林,2022-04,15.5,22.6,29.2,2022-04-12,9.8,2.1,2022-04-03
156,堡林,2022-05,19.3,26.1,31.9,2022-05-24,13.8,6.9,2022-05-03
156,堡林,2022-06,23.8,29.0,34.1,2022-06-03,20.1,15.8,2022-06-08
156,堡林,2022-07,27.0,31.1,34.8,2022-07-02,23.8,20.2,2022-07-18
156,堡林,2022-08,26.9,30.6,34.2,2022-08-07,24.1,17.2,2022-08-28
156,堡林,2022-09,23.1,28.0,34.5,2022-09-18,19.1,13.9,2022-09-22
156,堡林,2022-10,16.0,21.6,30.5,2022-10-01,11.4,4.7,2022-10-25
156,堡林,2022-11,11.8,18.1,24.4,2022-11-11,6.8,-1.7,2022-11-30
156,堡林,2022-12,1.1,5.5,12.7,2022-12-08,-2.6,-8.0,2022-12-25
156,堡林,2023-01,1.7,6.7,16.5,2023-01-12,-2.5,-13.4,2023-01-25
156,堡林,2023-02,4.2,10.1,16.5,2023-02-28,-0.5,-4.5,2023-02-21
156,堡林,2023-03,11.2,18.2,25.2,2023-03-31,5.1,-2.3,2023-03-03
156,堡林,2023-04,14.7,20.8,28.4,2023-04-20,9.4,2.8,2023-04-08
156,堡林,2023-05,19.4,25.0,32.0,2023-05-16,14.9,7.4,2023-05-08
156,堡林,2023-06,23.4,28.8,34.0,2023-06-19,19.5,16.0,2023-06-03
156,堡林,2023-07,26.3,30.3,34.7,2023-07-29,23.4,21.3,2023-07-06
156,堡林,2023-08,27.3,32.0,35.7,2023-08-05,24.0,19.8,2023-08-30
156,堡林,2023-09,23.8,28.3,32.8,2023-09-04,20.4,15.1,2023-09-30
156,堡林,2023-10,16.6,22.0,24.7,2023-10-02,12.2,7.3,2023-10-22
156,堡林,2023-11,9.9,14.9,27.0,2023-11-02,5.4,-1.8,2023-11-25
156,堡林,2023-12,4.8,9.0,20.3,2023-12-10,1.2,-9.6,2023-12-22
156,堡林,2024-01,3.0,7.3,16.1,2024-01-31,-0.5,-7.0,2024-01-24
156,堡林,2024-02,6.1,10.6,19.0,2024-02-14,2.3,-2.5,2024-02-08
156,堡林,2024-03,8.2,14.1,23.5,2024-03-23,3.4,-5.4,2024-03-02
156,堡林,2024-04,16.6,22.5,29.5,2024-04-28,11.6,7.1,2024-04-01
156,堡林,2024-05,19.2,25.3,31.0,2024-05-24,14.0,9.5,2024-05-16
156,堡林,2024-06,23.8,29.3,37.2,2024-06-19,19.4,14.6,2024-06-02
156,堡林,2024-07,26.9,30.5,34.2,2024-07-31,24.3,22.2,2024-07-11
156,堡林,2024-08,28.5,33.5,35.8,2024-08-04,24.9,21.9,2024-08-28
156,堡林,2024-09,26.3,31.0,35.8,2024-09-19,22.5,16.0,2024-09-24
156,堡林,2024-10,17.7,22.6,27.3,2024-10-18,13.7,8.7,2024-10-25
156,堡林,2024-11,11.5,16.5,23.4,2024-11-02,7.5,1.6,2024-11-19
156,堡林,2024-12,3.8,7.9,17.7,2024-12-02,0.4,-4.6,2024-12-19
156,堡林,2025-01,1.9,6.8,13.3,2025-01-24,-2.0,-10.1,2025-01-10
156,堡林,2025-02,1.1,5.7,16.3,2025-02-28,-2.9,-9.0,2025-02-08
156,堡林,2025-03,9.5,15.7,28.3,2025-03-26,4.5,-1.0,2025-03-19











